id_funcionario,departmento,regiao,educacao,genero,canal_recrutamento,numero_treinamentos,idade,aval_ano_anterior,tempo_servico,promovido
38330,Contabilidade,Sul,Superior,M,Outsourcing,1,40,3,12,0
33690,RH,Nordeste,Superior,M,Outro,1,30,1,6,0
73161,Logistica,Nordeste,Superior,M,Outro,1,39,3,5,0
13596,Analytics,Norte,Superior,M,Outro,2,26,2,2,0
45709,Marketing,Norte,Superior,F,Outro,1,29,,1,0
32709,Pesquisa,Nordeste,Mestrado ou Doutorado,M,Outsourcing,1,40,3,5,0
26599,Marketing,Sudeste,Superior,M,Outro,2,27,,1,0
32656,Marketing,Sudeste,Superior,M,Outro,1,40,4,7,0
17673,Marketing,Centro,Mestrado ou Doutorado,M,Outro,1,50,4,17,1
3113,Marketing,Sudeste,Superior,M,Outsourcing,1,25,3,3,0
9150,Analytics,Nordeste,Superior,F,Outro,1,28,,1,0
14107,Marketing,Sudeste,Mestrado ou Doutorado,M,Outsourcing,1,35,4,2,0
58747,Pesquisa,Nordeste,Superior,M,Outro,1,34,5,5,0
3342,Logistica,Nordeste,Mestrado ou Doutorado,F,Outsourcing,1,31,3,3,0
77981,Finance,Nordeste,Superior,M,Outro,1,27,,1,1
16502,Marketing,Nordeste,Superior,M,Outsourcing,1,27,,1,1
73729,Contabilidade,Nordeste,Superior,M,Outro,1,30,4,6,0
45624,Analytics,Norte,Superior,M,Outro,1,30,3,7,1
75677,Logistica,Nordeste,Superior,F,Outro,1,50,5,5,0
24040,Tecnologia,Nordeste,Mestrado ou Doutorado,M,Outro,1,34,5,7,1
68082,Marketing,Sul,Mestrado ou Doutorado,F,Outsourcing,1,41,1,12,0
51786,Marketing,Sudeste,Superior,M,Outsourcing,1,32,4,6,0
77577,Marketing,Sudeste,Superior,M,Outro,1,50,3,14,0
54782,Marketing,Sul,Mestrado ou Doutorado,M,Outsourcing,1,38,4,2,1
52368,Marketing,Nordeste,Superior,M,Outsourcing,2,29,1,5,0
75103,Marketing,Norte0,Superior,M,Outsourcing,1,35,4,3,0
7520,Analytics,Sul,Superior,M,Outro,1,25,3,2,0
59147,Marketing,Nordeste,Superior,M,Outsourcing,1,30,3,3,1
53092,Tecnologia,Sul,Superior,M,Indicado,1,47,3,7,0
34564,Logistica,Centro,Mestrado ou Doutorado,M,Outsourcing,1,35,2,7,0
66013,Marketing,Sul,,M,Outsourcing,2,25,3,2,0
77135,Pesquisa,Nordeste,Superior,M,Outro,1,36,4,8,0
44575,Legal,Sudeste,Superior,M,Outro,1,29,,1,1
47498,Logistica,Sudeste,Mestrado ou Doutorado,F,Outsourcing,1,42,5,11,1
20798,RH,Sul,Superior,F,Outsourcing,1,28,2,6,0
69094,Marketing,Sul,,M,Outsourcing,1,39,1,9,0
22261,Contabilidade,Sudeste,Mestrado ou Doutorado,M,Outsourcing,1,32,5,3,1
9589,Marketing,Norte,Superior,F,Outro,1,31,,1,0
62658,Marketing,Sul,,F,Outsourcing,1,20,,1,0
21628,Analytics,Centro,Superior,M,Outro,1,34,3,8,0
68484,Contabilidade,Sul,Mestrado ou Doutorado,M,Outsourcing,2,46,4,3,0
44523,RH,Sul,Mestrado ou Doutorado,M,Outro,1,47,3,7,0
35420,Logistica,Sul,Superior,F,Outro,1,44,4,13,0
43923,Analytics,Sudeste,Superior,M,Outsourcing,1,31,4,4,0
64109,Tecnologia,Nordeste,Superior,F,Outsourcing,1,23,,1,0
41983,Logistica,Sul,Superior,F,Outsourcing,1,33,3,5,0
21440,Marketing,Norte,Superior,M,Outro,1,41,3,12,0
51256,Finance,Sul,Mestrado ou Doutorado,M,Outro,1,60,5,17,0
66635,Logistica,Sul,Superior,M,Outro,1,31,5,4,1
16027,Logistica,Nordeste,Superior,F,Outro,1,37,3,11,0
46020,Analytics,Sudeste,Superior,M,Outsourcing,2,39,3,4,0
28509,Marketing,Sudeste,Superior,M,Outro,1,40,5,8,0
33587,Marketing,Sul,Mestrado ou Doutorado,M,Outsourcing,1,42,5,4,0
21387,Logistica,Nordeste,Superior,M,Outro,1,35,4,6,1
55927,Logistica,Nordeste,Mestrado ou Doutorado,F,Outsourcing,1,41,4,6,0
60763,Contabilidade,Sul,Superior,F,Outro,1,23,3,2,0
53167,Marketing,Sudeste,Superior,M,Outsourcing,2,31,3,4,0
32672,Analytics,Nordeste,Mestrado ou Doutorado,M,Outro,1,42,2,19,0
48785,Marketing,Nordeste,Superior,M,Outro,3,29,4,2,0
51444,RH,Nordeste,Superior,F,Outro,1,30,,1,0
75778,Logistica,Sul,Superior,M,Outsourcing,1,41,4,6,0
14141,Marketing,Sudeste,Superior,F,Outro,1,40,3,2,1
17894,Marketing,Sul,Superior,M,Indicado,1,34,5,5,0
54380,Marketing,Centro,Superior,F,Outro,1,31,4,2,0
51892,Tecnologia,Sul,Superior,M,Outro,1,27,5,2,1
3625,Contabilidade,Norte,Superior,M,Outsourcing,4,30,3,2,0
38771,Contabilidade,Norte,Superior,F,Outro,1,27,4,4,1
18959,Tecnologia,Sul,Superior,M,Outro,4,36,4,7,0
21137,Tecnologia,Sul,Superior,M,Outsourcing,1,35,4,6,0
26097,Marketing,Norte,Mestrado ou Doutorado,M,Outro,1,34,5,7,1
38052,Contabilidade,Sudeste,Mestrado ou Doutorado,M,Outsourcing,1,37,5,3,1
41746,Logistica,Nordeste,Superior,F,Outsourcing,1,27,,1,0
72744,Contabilidade,Sul,Mestrado ou Doutorado,M,Outsourcing,2,47,3,5,0
5461,Analytics,Sudeste,Superior,M,Outro,1,28,,1,0
15227,Contabilidade,Nordeste,Mestrado ou Doutorado,F,Outro,1,40,5,5,0
66874,Marketing,Nordeste,Superior,F,Outro,1,30,,1,0
42068,Logistica,Sudeste,Mestrado ou Doutorado,M,Outro,1,38,5,9,0
54825,Marketing,Norte,Superior,M,Outro,1,30,3,2,0
77709,Marketing,Sudeste,Superior,F,Outsourcing,1,28,5,3,0
43712,Contabilidade,Nordeste,Superior,M,Outsourcing,2,28,5,4,0
74783,Logistica,Sudeste,Superior,M,Outsourcing,1,35,4,7,0
19318,Analytics,Nordeste,Superior,M,Outro,1,32,3,8,1
12096,Marketing,Nordeste,Mestrado ou Doutorado,M,Outsourcing,1,36,5,8,0
5102,Logistica,Sudeste,Superior,M,Outsourcing,1,24,,1,0
29521,Tecnologia,Sul,Superior,M,Outro,1,27,3,4,0
36371,Finance,Sul,Mestrado ou Doutorado,M,Outro,2,34,3,7,0
51164,Tecnologia,Sudeste,Superior,F,Outro,1,31,4,4,0
17812,Tecnologia,Nordeste,Superior,F,Outsourcing,1,30,4,2,0
7606,Tecnologia,Sudeste,Superior,F,Outro,2,30,3,7,0
50593,Finance,Norte,Superior,M,Outsourcing,1,31,,1,0
73735,Analytics,Norte,Superior,M,Outro,1,30,5,3,0
29313,Finance,Nordeste,Superior,M,Outsourcing,1,28,3,2,0
40262,Tecnologia,Sul,Superior,M,Outro,2,28,3,5,0
36904,Marketing,Sul,Superior,M,Outro,1,29,3,2,0
62552,Marketing,Nordeste,Mestrado ou Doutorado,M,Outsourcing,1,46,3,11,0
63285,Tecnologia,Sudeste,Superior,M,Outsourcing,1,31,5,4,0
74203,Contabilidade,Sul,Superior,M,Outsourcing,1,28,1,4,0
75344,Marketing,Centro,Mestrado ou Doutorado,M,Outro,1,31,4,6,0
74018,RH,Sudeste,Mestrado ou Doutorado,F,Outro,1,37,3,9,0
34985,Tecnologia,Sul,Superior,F,Outro,2,34,5,8,1
35930,Contabilidade,Sul,Superior,M,Outsourcing,1,25,5,3,1
6708,Logistica,Nordeste,Mestrado ou Doutorado,M,Outsourcing,1,40,4,4,0
5515,Logistica,Nordeste,Mestrado ou Doutorado,M,Outro,1,43,3,7,1
53373,Logistica,Nordeste,Superior,M,Outro,1,36,1,5,0
69316,Legal,Sudeste,Superior,M,Outsourcing,1,29,3,3,0
41009,Finance,Nordeste,Superior,M,Outsourcing,2,35,3,2,0
50622,Analytics,Norte,Mestrado ou Doutorado,M,Outro,1,34,5,2,0
30106,Marketing,Sudeste,Superior,F,Outsourcing,1,32,4,4,0
45157,RH,Centro,Superior,M,Outro,1,27,,1,0
23523,Tecnologia,Nordeste,Superior,M,Outsourcing,1,29,3,5,0
74349,Marketing,Sul,Superior,M,Outsourcing,1,34,1,4,0
70543,Contabilidade,Sul,Mestrado ou Doutorado,M,Outsourcing,1,37,5,7,0
42245,Contabilidade,Nordeste,Superior,F,Outro,1,33,3,3,0
34405,Contabilidade,Sul,Mestrado ou Doutorado,F,Outro,1,33,5,4,0
4134,Marketing,Sudeste,Superior,F,Outro,1,39,1,8,0
23599,Tecnologia,Norte,Mestrado ou Doutorado,M,Outro,1,34,4,7,0
942,Tecnologia,Nordeste,Superior,M,Outro,2,32,4,6,0
5281,Marketing,Sudeste,Mestrado ou Doutorado,M,Outro,1,34,4,6,0
197,Finance,Centro,Superior,M,Outro,1,29,5,6,0
37574,Marketing,Sul,Superior,M,Outsourcing,2,28,1,2,0
26773,Tecnologia,Sudeste,Superior,F,Outro,1,28,2,5,0
70034,Contabilidade,Sul,Mestrado ou Doutorado,F,Outro,2,35,3,9,0
40565,Tecnologia,Sul,Superior,F,Outro,2,40,3,3,0
17193,Marketing,Sul,Superior,F,Outro,2,27,2,4,0
76550,Contabilidade,Nordeste,Superior,F,Outro,3,26,3,3,0
53841,Logistica,Sul,Superior,M,Outsourcing,1,43,2,12,0
28314,Finance,Nordeste,Superior,M,Outro,1,23,,1,0
30196,Analytics,Norte,Superior,M,Outsourcing,1,29,5,6,0
29757,Marketing,Sudeste,Superior,M,Outsourcing,1,43,3,15,0
6073,Marketing,Sul,Superior,M,Outsourcing,3,27,4,4,0
9863,Contabilidade,Nordeste,Superior,M,Outsourcing,1,26,4,4,0
34306,Contabilidade,Nordeste,Superior,F,Outro,1,31,5,5,0
34041,Logistica,Sudeste,Superior,M,Outro,1,40,4,11,0
21356,Logistica,Sul,Superior,F,Outro,2,39,5,12,0
29540,Logistica,Sul,Superior,F,Outro,2,30,3,6,0
51669,Tecnologia,Sul,Mestrado ou Doutorado,M,Outro,1,47,4,4,0
33825,Marketing,Sul,Superior,M,Outro,1,34,4,7,1
6254,Logistica,Sul,,F,Outro,1,33,4,9,0
11645,Marketing,Norte,Mestrado ou Doutorado,M,Outro,1,41,5,7,0
3231,Tecnologia,Sudeste,Superior,M,Outro,1,29,1,4,0
7030,Analytics,Norte,Superior,F,Outro,1,32,3,4,0
54198,Contabilidade,Sudeste,Mestrado ou Doutorado,F,Outro,1,47,5,9,0
62293,Logistica,Nordeste,Superior,M,Outro,1,35,4,3,0
25312,Tecnologia,Nordeste,Superior,M,Outro,1,27,4,2,0
75610,Analytics,Norte2,Superior,M,Outro,1,29,1,3,0
16518,Marketing,Sul,Superior,M,Outsourcing,2,36,3,9,0
42747,Marketing,Sul,Superior,M,Outro,2,35,1,8,0
67980,Contabilidade,Sul,Superior,F,Outsourcing,2,34,3,2,0
53630,Marketing,Norte,Mestrado ou Doutorado,F,Outsourcing,1,34,4,5,1
72423,Logistica,Sul,Mestrado ou Doutorado,M,Outsourcing,1,39,3,2,0
73022,Marketing,Norte,Superior,M,Outro,1,26,5,2,0
63976,Logistica,Norte,Superior,F,Outsourcing,1,30,5,4,0
60761,Logistica,Sudeste,,F,Outro,1,31,4,2,0
57228,RH,Sul,Mestrado ou Doutorado,M,Outsourcing,1,44,5,6,0
14912,Marketing,Sudeste,Superior,M,Outro,1,38,3,4,0
22725,Tecnologia,Nordeste,Superior,M,Outro,1,40,1,3,0
18981,Legal,Sul,Mestrado ou Doutorado,M,Outsourcing,1,50,5,6,0
50845,Contabilidade,Sudeste,Mestrado ou Doutorado,M,Outro,1,44,3,12,0
11800,Contabilidade,Sul,Ensino Medio,F,Outro,1,23,1,2,0
16351,Marketing,Sudeste,Mestrado ou Doutorado,F,Outsourcing,1,36,1,2,0
75881,Analytics,Nordeste,Superior,M,Outsourcing,1,25,1,4,0
73200,Logistica,Sul,Superior,M,Outsourcing,1,34,5,4,0
17833,Analytics,Centro,Superior,M,Outsourcing,1,28,,1,0
58338,Analytics,Sudeste,Superior,M,Outro,2,30,5,6,0
40187,Contabilidade,Centro,Superior,M,Outsourcing,1,35,1,8,0
70193,Analytics,Sudeste,Superior,M,Outsourcing,1,33,4,8,0
27188,Analytics,Nordeste,Mestrado ou Doutorado,M,Outro,1,30,3,4,0
24291,Analytics,Nordeste,Superior,M,Outro,2,27,5,3,0
43676,Contabilidade,Sul,Superior,M,Outro,4,29,,1,0
52231,Logistica,Sul,Superior,M,Outsourcing,1,43,3,3,0
34241,Analytics,Nordeste,Superior,M,Outro,2,28,3,5,0
76661,Contabilidade,Sul,Superior,M,Outro,1,31,5,3,0
50595,Logistica,Sul,Superior,F,Outro,1,43,4,12,0
67673,Logistica,Centro,Superior,F,Outro,1,35,5,9,0
10547,Marketing,Sul,Superior,M,Outro,2,35,3,9,0
73405,Logistica,Sul,Mestrado ou Doutorado,M,Outro,1,50,3,8,0
73114,RH,Sul,Superior,F,Outro,1,26,4,3,0
22572,Marketing,Nordeste,Superior,M,Outsourcing,1,32,3,5,0
62923,Logistica,Nordeste,Mestrado ou Doutorado,F,Outro,1,38,5,2,1
57235,Marketing,Nordeste,,M,Outro,1,22,4,2,0
22300,RH,Sul,Superior,M,Outro,1,28,,1,0
24090,Contabilidade,Sudeste,Superior,F,Outsourcing,1,37,3,9,0
57298,Analytics,Sul,Superior,M,Outsourcing,2,54,3,9,0
25629,Marketing,Sudeste,Superior,M,Outsourcing,1,36,3,8,0
71339,Tecnologia,Sudeste,Superior,M,Outro,1,35,3,8,0
54714,Analytics,Sudeste,Superior,M,Outro,1,39,3,4,0
7390,Logistica,Centro,Superior,F,Outsourcing,1,31,5,4,0
9563,Logistica,Norte,Superior,M,Outro,2,38,3,7,0
39107,Marketing,Nordeste,Superior,M,Outsourcing,1,28,1,2,0
19445,Marketing,Sudeste,Superior,M,Outsourcing,3,26,2,3,0
42636,Marketing,Nordeste,Superior,M,Outsourcing,1,29,,1,0
32557,Analytics,Sul,Superior,M,Outsourcing,1,30,3,4,0
43396,Logistica,Nordeste,Superior,M,Outsourcing,2,37,2,4,1
24414,Pesquisa,Sul,,M,Outro,1,25,,1,0
63237,Tecnologia,Nordeste,Superior,M,Indicado,1,26,4,2,0
32838,Tecnologia,Sudeste,Superior,M,Outro,1,31,4,4,0
23003,Tecnologia,Sudeste,Superior,F,Outro,1,38,5,7,0
45198,Marketing,Nordeste,Superior,M,Outro,1,39,4,9,0
40376,Marketing,Centro,Superior,M,Outro,1,30,5,4,0
60176,Contabilidade,Sul,Mestrado ou Doutorado,F,Outro,1,34,5,8,0
67652,Contabilidade,Norte,Mestrado ou Doutorado,F,Outro,1,33,3,5,0
15476,Tecnologia,Sul,Superior,F,Outro,1,29,5,3,0
55811,Logistica,Sul,Superior,M,Outsourcing,1,28,4,2,0
15737,Finance,Nordeste,Superior,M,Outsourcing,1,24,,1,0
10058,Analytics,Nordeste,Superior,M,Outro,2,26,4,2,0
73435,Legal,Nordeste,Superior,M,Outsourcing,1,34,5,4,0
51255,Marketing,Nordeste,Superior,M,Outsourcing,1,35,3,7,0
70060,Tecnologia,Nordeste,Mestrado ou Doutorado,M,Outro,1,43,3,14,0
51473,Marketing,Sul,Superior,M,Outro,1,34,1,8,0
71904,Tecnologia,Sudeste,Mestrado ou Doutorado,F,Outro,2,38,3,10,0
76080,Logistica,Sudeste,Superior,F,Outro,1,34,1,5,0
33357,Logistica,Nordeste,Superior,M,Outsourcing,1,41,4,4,0
53502,Finance,Sudeste,Superior,M,Outsourcing,2,29,1,4,0
26409,Logistica,Sul,Superior,M,Outro,1,33,4,3,0
59608,Marketing,Sul,Mestrado ou Doutorado,F,Outro,1,41,4,5,0
28687,Logistica,Sul,Mestrado ou Doutorado,M,Outro,3,38,3,11,0
34312,Contabilidade,Sul,Mestrado ou Doutorado,F,Outro,2,54,4,23,0
11438,Marketing,Nordeste,Mestrado ou Doutorado,F,Outsourcing,2,34,2,8,0
11794,Pesquisa,Sul,Superior,M,Outro,2,26,5,3,0
48756,Logistica,Sudeste,Superior,F,Outsourcing,1,35,5,3,0
35873,Legal,Sul,Ensino Medio,M,Outro,1,28,,1,0
13970,Logistica,Norte3,Mestrado ou Doutorado,M,Outro,1,36,3,4,0
49868,Tecnologia,Sul,Superior,M,Outro,1,45,3,15,0
25261,Contabilidade,Sudeste,Mestrado ou Doutorado,M,Outro,1,38,4,7,0
44536,Marketing,Nordeste,Superior,F,Outro,1,26,2,4,0
55550,Analytics,Nordeste,,M,Outsourcing,1,31,3,4,0
27989,Analytics,Sudeste,Superior,M,Outsourcing,1,32,3,7,0
12598,Analytics,Sudeste,Superior,M,Outsourcing,1,29,4,4,0
32877,Marketing,Sul,Superior,F,Outro,1,40,3,12,0
30682,Tecnologia,Sul,Superior,M,Indicado,2,29,4,6,0
1829,Analytics,Sul,Superior,M,Outro,2,31,5,7,0
2177,Finance,Sudeste,Superior,M,Outro,1,32,5,6,0
51771,Logistica,Sul,Superior,M,Outro,1,42,5,11,0
26026,Contabilidade,Sul,Superior,F,Outsourcing,1,30,5,3,0
64977,Contabilidade,Sudeste,Superior,F,Outro,1,24,3,2,0
44585,Marketing,Norte0,Superior,M,Outsourcing,1,35,3,7,0
43562,Tecnologia,Sul,Superior,F,Outsourcing,2,32,1,3,0
56287,RH,Sul,Superior,F,Outsourcing,1,22,3,2,0
19100,Marketing,Sul,Superior,M,Outsourcing,2,44,5,14,0
58203,Logistica,Sudeste,Superior,M,Outro,2,39,3,9,0
12504,Tecnologia,Sudeste,Superior,F,Outro,1,46,4,17,0
49126,Tecnologia,Sul,Superior,M,Outro,1,29,2,5,0
66469,Finance,Sudeste,Superior,M,Outro,1,26,1,3,0
53350,Logistica,Norte,Superior,M,Outro,1,35,4,5,0
22031,Contabilidade,Sul,Superior,F,Outro,1,29,4,2,1
36185,Tecnologia,Nordeste,Superior,M,Outsourcing,1,30,2,9,0
58415,Marketing,Sudeste,Superior,M,Outro,1,45,4,5,0
71763,Marketing,Sul,Superior,F,Outro,1,30,1,6,0
62742,Finance,Norte2,Superior,M,Outsourcing,1,28,2,4,0
33619,Tecnologia,Sul,Mestrado ou Doutorado,M,Outsourcing,1,46,5,10,0
41212,Contabilidade,Sudeste,Superior,M,Outsourcing,1,27,2,2,0
40204,Marketing,Sudeste,Superior,M,Outsourcing,1,34,2,5,0
59131,Analytics,Sudeste,Superior,M,Outsourcing,2,32,5,3,0
12559,Logistica,Nordeste,Superior,F,Outro,1,35,5,10,0
30433,Contabilidade,Nordeste,Superior,M,Outro,1,36,4,3,0
13150,Contabilidade,Sul,Mestrado ou Doutorado,F,Outro,1,58,1,13,0
9616,Finance,Norte,Superior,M,Outro,1,29,4,4,0
26563,Contabilidade,Sul,Superior,F,Indicado,1,33,3,3,0
38331,Logistica,Sudeste,Superior,F,Outro,1,32,5,6,0
18651,Legal,Nordeste,Ensino Medio,M,Outro,1,25,5,2,0
45004,Contabilidade,Nordeste,Superior,M,Outro,4,41,2,9,0
11892,Contabilidade,Centro,Superior,F,Outro,1,25,,1,0
16859,Analytics,Sul,Mestrado ou Doutorado,M,Outro,1,50,1,7,0
26107,Marketing,Nordeste,Superior,M,Outro,1,30,1,7,0
22511,Tecnologia,Nordeste,Superior,M,Outsourcing,1,28,,1,0
22865,Analytics,Sul,Mestrado ou Doutorado,M,Outro,1,40,5,5,1
67467,Finance,Sul,Ensino Medio,F,Outro,1,26,3,2,0
2268,Tecnologia,Nordeste,Superior,M,Outro,1,35,5,8,0
33517,Marketing,Sudeste,Mestrado ou Doutorado,M,Outro,1,37,3,7,0
27605,Logistica,Nordeste,Mestrado ou Doutorado,M,Outro,1,34,3,3,1
69349,Logistica,Sudeste,Superior,M,Outsourcing,1,25,3,2,0
45496,Marketing,Sul,,M,Outro,1,22,5,2,1
66262,Contabilidade,Sul,Superior,F,Outro,2,26,5,2,1
55425,Tecnologia,Sul,Superior,F,Outro,1,31,4,7,0
29543,Finance,Sul,Superior,M,Outsourcing,4,31,5,3,0
36547,Analytics,Norte,Superior,M,Outsourcing,1,32,3,6,0
11205,Marketing,Sudeste,Superior,M,Outsourcing,1,36,5,8,0
469,Tecnologia,Sul,Superior,F,Outsourcing,1,57,3,19,0
44703,Marketing,Sul,Superior,F,Outsourcing,1,42,4,9,0
14847,Marketing,Sul,Superior,M,Outro,1,28,3,3,0
43689,Analytics,Centro,Superior,M,Outsourcing,2,33,4,3,0
72157,Analytics,Sul,Superior,M,Outsourcing,1,41,3,3,0
74579,Logistica,Sul,Ensino Medio,M,Outro,2,26,,1,0
51544,Contabilidade,Centro,Superior,F,Outro,1,32,5,5,1
5128,Logistica,Sul,,M,Outro,1,48,3,8,0
37952,Logistica,Nordeste,Mestrado ou Doutorado,M,Outro,1,41,3,7,0
39914,Tecnologia,Sul,Mestrado ou Doutorado,M,Outro,1,31,5,4,0
74332,Marketing,Nordeste,Superior,M,Outro,1,37,4,5,0
42886,Analytics,Sudeste,Superior,M,Outro,1,30,1,4,0
53988,Finance,Sul,Ensino Medio,M,Outro,1,26,5,2,0
49775,Marketing,Nordeste,Superior,M,Outsourcing,1,44,5,11,0
66965,Logistica,Sudeste,Superior,F,Outsourcing,1,44,3,10,0
70197,Pesquisa,Nordeste,Mestrado ou Doutorado,M,Outro,1,30,4,2,1
66210,Logistica,Nordeste,Ensino Medio,M,Outro,1,24,3,2,0
71008,Marketing,Nordeste,Superior,M,Outro,1,40,1,10,0
52132,Tecnologia,Sudeste,Mestrado ou Doutorado,M,Outro,1,32,3,5,0
72604,Marketing,Sul,Superior,M,Outsourcing,1,40,5,7,0
66802,Tecnologia,Sudeste,Ensino Medio,F,Outro,2,24,4,3,0
55730,Marketing,Nordeste,Superior,M,Outro,1,45,4,15,1
8284,Marketing,Sul,Superior,F,Outro,1,34,5,5,1
69715,Logistica,Sul,,F,Outro,1,58,4,18,0
36117,Tecnologia,Nordeste,Superior,M,Outsourcing,1,35,3,7,0
56139,Marketing,Sudeste,,M,Outro,1,24,4,2,0
15924,Marketing,Norte,Superior,M,Outro,1,35,2,8,0
41776,Tecnologia,Norte,Superior,M,Outsourcing,1,31,1,2,0
25949,Logistica,Sudeste,Superior,M,Outro,1,33,3,5,0
51509,RH,Sul,Mestrado ou Doutorado,F,Outsourcing,1,44,3,14,0
36936,Marketing,Sul,,M,Outro,1,24,2,2,1
25572,Contabilidade,Sul,Superior,M,Outro,2,34,2,10,0
11337,Marketing,Nordeste,Superior,M,Outsourcing,1,37,5,2,0
34965,Logistica,Nordeste,Superior,M,Outro,2,31,3,4,0
38318,Contabilidade,Sudeste,Superior,M,Outro,1,32,3,8,0
60969,Logistica,Sul,Superior,F,Outro,1,33,5,7,0
72765,Logistica,Sul,,F,Outsourcing,1,53,3,11,0
16951,Logistica,Nordeste,Superior,M,Outsourcing,2,37,5,4,0
54416,Marketing,Sul,Superior,M,Outsourcing,1,30,2,5,0
4585,Analytics,Sul,Superior,M,Outsourcing,1,35,5,3,0
64140,Tecnologia,Sudeste,Superior,M,Outsourcing,1,32,3,4,0
35746,Logistica,Sul,Superior,M,Outsourcing,1,45,3,9,0
6587,Contabilidade,Nordeste,Superior,M,Outro,1,29,,1,0
1901,Marketing,Centro,Superior,M,Outsourcing,2,31,3,4,0
56849,Tecnologia,Sul,Superior,M,Outsourcing,2,34,3,8,0
56233,Analytics,Nordeste,Superior,F,Outro,1,24,,1,0
15844,Logistica,Norte,Mestrado ou Doutorado,F,Outro,1,31,5,7,0
1497,Marketing,Nordeste,Mestrado ou Doutorado,F,Outro,1,37,3,6,0
11488,Marketing,Sudeste,Mestrado ou Doutorado,M,Outro,1,42,3,12,0
59616,Contabilidade,Centro,Mestrado ou Doutorado,M,Outro,1,40,3,6,0
9002,Logistica,Sul,Superior,M,Outsourcing,1,37,5,5,0
